UserID,SurveyID,1,2,89,3,4,50,51,5,8,9,90,98,104,91,17,10,11,15,16,56,83,85,58,59,64,65,78,115,116,48,49
19,2014,46,Male,,United States,Maryland,,,1,1-5,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
20,2014,36,Male,,France,-1,,,1,6-25,1,No,No,,Don't know,,No,Yes,,,,,,,,,,,,,,
21,2014,29,Male,,United States,New York,,,0,100-500,1,No,Maybe,,No,,Yes,No,,,,,,,,,,,,,,
22,2014,31,Male,,United States,North Carolina,,,1,1-5,1,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
23,2014,46,Male,,United States,Massachusetts,,,0,26-100,1,No,Maybe,,No,,Yes,Don't know,,,,,,,,,,,,,,
24,2014,41,Male,,United States,Iowa,,,0,More than 1000,0,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
25,2014,33,Male,,United States,California,,,0,26-100,1,No,No,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
26,2014,35,Male,,United States,Tennessee,,,0,More than 1000,0,No,Yes,,No,,Yes,No,,,,,,,,,,,,,,
27,2014,33,Male,,United States,Tennessee,,,0,1-5,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
28,2014,35,Female,,United States,California,,,0,6-25,1,No,No,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
29,2014,34,Male,,United States,Ohio,,,0,26-100,1,No,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
30,2014,37,Male,,United Kingdom,-1,,,0,6-25,1,Maybe,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
31,2014,32,Male,,United Kingdom,-1,,,0,6-25,1,Yes,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
32,2014,31,Male,,United States,Pennsylvania,,,1,1-5,1,No,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
33,2014,30,Male,,United Kingdom,-1,,,0,500-1000,1,No,Maybe,,Don't know,,Don't know,Yes,,,,,,,,,,,,,,
34,2014,42,Male,,United States,Washington,,,0,26-100,1,No,Maybe,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
35,2014,40,Female,,United States,Wisconsin,,,0,1-5,1,No,Maybe,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
36,2014,27,Male,,United States,New York,,,0,6-25,1,No,No,,Don't know,,No,Don't know,,,,,,,,,,,,,,
37,2014,29,Male,,Canada,-1,,,0,1-5,1,Maybe,Yes,,Don't know,,No,Don't know,,,,,,,,,,,,,,
38,2014,38,Male,,Portugal,-1,,,0,100-500,1,No,Maybe,,No,,No,Don't know,,,,,,,,,,,,,,
39,2014,50,Male,,United States,Indiana,,,0,100-500,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
40,2014,35,Male,,United States,Texas,,,0,More than 1000,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
41,2014,24,Male,,United Kingdom,-1,,,0,6-25,1,Maybe,Maybe,,No,,No,Don't know,,,,,,,,,,,,,,
42,2014,35,Male,,United States,Michigan,,,0,More than 1000,1,Yes,Yes,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
43,2014,27,Male,,Canada,-1,,,0,1-5,1,No,Maybe,,Yes,,No,Yes,,,,,,,,,,,,,,
44,2014,18,Male,,Netherlands,-1,,,0,6-25,1,Maybe,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
45,2014,30,Male,,United States,Indiana,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
46,2014,38,Female,,United States,Texas,,,0,26-100,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
47,2014,28,Male,,United Kingdom,-1,,,0,26-100,1,Maybe,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
48,2014,34,Male,,United States,Tennessee,,,0,6-25,1,No,No,,Don't know,,No,Don't know,,,,,,,,,,,,,,
49,2014,26,Male,,Canada,-1,,,1,1-5,1,No,No,,Yes,,No,Don't know,,,,,,,,,,,,,,
50,2014,30,Male,,United States,Illinois,,,0,26-100,1,No,Maybe,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
51,2014,22,Male,,United States,Texas,,,0,6-25,1,No,Maybe,,Don't know,,No,Yes,,,,,,,,,,,,,,
52,2014,33,Male,,United States,Utah,,,0,100-500,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
53,2014,31,Male,,United States,-1,,,0,100-500,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
54,2014,32,Male,,United States,Tennessee,,,0,1-5,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
55,2014,28,Male,,Switzerland,-1,,,0,100-500,1,No,No,,Don't know,,No,Don't know,,,,,,,,,,,,,,
56,2014,27,Male-ish,,United States,New York,,,0,26-100,1,No,Maybe,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
57,2014,32,Male,,United States,Tennessee,,,0,6-25,1,No,No,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
58,2014,24,Male,,United States,New York,,,0,26-100,1,Maybe,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
59,2014,26,Male,,United States,Tennessee,,,0,26-100,0,No,No,,Don't know,,No,Yes,,,,,,,,,,,,,,
60,2014,33,Male,,Canada,-1,,,0,6-25,1,No,Yes,,Don't know,,Don't know,No,,,,,,,,,,,,,,
61,2014,44,Male,,United States,Iowa,,,0,More than 1000,0,Maybe,Yes,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
62,2014,26,Female,,Poland,-1,,,0,26-100,1,No,No,,Yes,,Don't know,Yes,,,,,,,,,,,,,,
63,2014,27,Male,,United Kingdom,-1,,,0,100-500,1,No,No,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
64,2014,26,Male,,France,-1,,,0,26-100,1,No,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
65,2014,35,Male,,Canada,-1,,,0,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
66,2014,40,Male,,United States,California,,,0,More than 1000,1,Maybe,Yes,,No,,Yes,Don't know,,,,,,,,,,,,,,
67,2014,23,Female,,Australia,-1,,,0,1-5,1,No,No,,Yes,,No,Don't know,,,,,,,,,,,,,,
68,2014,36,Male,,United States,Texas,,,0,100-500,1,No,Maybe,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
69,2014,31,Female,,United States,New Mexico,,,0,26-100,0,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
70,2014,34,Male,,United States,New York,,,1,1-5,1,No,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
71,2014,28,Male,,France,-1,,,0,26-100,1,No,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
72,2014,34,Male,,Canada,-1,,,0,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
73,2014,23,Trans-female,,United States,Massachusetts,,,0,More than 1000,1,No,Maybe,,No,,Yes,Yes,,,,,,,,,,,,,,
74,2014,38,Male,,United Kingdom,-1,,,0,26-100,1,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
75,2014,33,Male,,United States,California,,,0,More than 1000,1,No,Maybe,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
76,2014,19,Male,,United Kingdom,-1,,,0,1-5,1,No,Yes,,No,,No,No,,,,,,,,,,,,,,
77,2014,25,Male,,United States,Washington,,,0,More than 1000,1,No,No,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
78,2014,31,Male,,United States,Washington,,,1,1-5,1,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
79,2014,32,Male,,United States,Utah,,,0,26-100,1,No,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
80,2014,28,Male,,Germany,-1,,,0,6-25,1,No,No,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
81,2014,38,Male,,United States,New York,,,0,100-500,1,No,No,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
82,2014,23,Male,,United Kingdom,-1,,,0,26-100,1,No,No,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
83,2014,30,Male,,Canada,-1,,,0,26-100,0,No,No,,No,,No,Don't know,,,,,,,,,,,,,,
84,2014,27,Female,,United States,New York,,,1,1-5,1,Maybe,Maybe,,Yes,,Yes,Yes,,,,,,,,,,,,,,
85,2014,33,Male,,United States,California,,,0,More than 1000,1,No,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
86,2014,31,Male,,United States,Texas,,,0,26-100,1,No,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
87,2014,39,Male,,United Kingdom,-1,,,1,6-25,1,No,Maybe,,No,,No,Don't know,,,,,,,,,,,,,,
88,2014,34,Female,,United States,Oregon,,,0,500-1000,1,Maybe,Yes,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
89,2014,29,Female,,United States,Florida,,,0,26-100,1,No,Maybe,,No,,Yes,Don't know,,,,,,,,,,,,,,
90,2014,32,Male,,United States,Illinois,,,0,500-1000,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
91,2014,31,Male,,United States,New York,,,0,500-1000,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
92,2014,40,Male,,United States,Texas,,,0,26-100,1,No,No,,No,,No,Yes,,,,,,,,,,,,,,
93,2014,34,Male,,United States,Ohio,,,0,26-100,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
94,2014,18,something kinda male?,,Russia,-1,,,0,26-100,1,No,No,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
95,2014,25,Female,,Canada,-1,,,0,26-100,1,No,Maybe,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
96,2014,29,Male,,United States,Minnesota,,,0,26-100,1,No,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
97,2014,24,Male,,United States,Missouri,,,0,26-100,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
98,2014,31,Male,,Mexico,-1,,,0,6-25,1,No,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
99,2014,33,Male,,United States,Arizona,,,0,6-25,1,No,Maybe,,No,,No,Don't know,,,,,,,,,,,,,,
100,2014,30,Male,,United States,Indiana,,,0,1-5,1,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
101,2014,26,Female,,Canada,-1,,,0,26-100,0,No,Yes,,No,,No,No,,,,,,,,,,,,,,
102,2014,44,Female,,United States,Massachusetts,,,0,100-500,1,Maybe,Maybe,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
103,2014,25,Male,,United States,New York,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
104,2014,33,Male,,United States,Wisconsin,,,0,26-100,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
105,2014,29,Male,,United States,New York,,,0,More than 1000,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
106,2014,35,Male,,United States,Missouri,,,0,6-25,1,No,No,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
107,2014,35,Male,,United States,Oregon,,,0,26-100,1,No,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
108,2014,28,Male,,Brazil,-1,,,0,6-25,1,No,Maybe,,Don't know,,No,No,,,,,,,,,,,,,,
109,2014,34,Male,,United States,Tennessee,,,0,6-25,1,No,Maybe,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
110,2014,32,Male,,United States,Washington,,,0,26-100,1,No,Maybe,,Yes,,Yes,Yes,,,,,,,,,,,,,,
111,2014,22,Male,,United States,New York,,,0,500-1000,1,No,Yes,,No,,Yes,Yes,,,,,,,,,,,,,,
112,2014,28,Male,,United States,California,,,0,26-100,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
113,2014,45,Male,,United States,Missouri,,,0,6-25,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
114,2014,32,Male,,United States,New York,,,0,100-500,1,No,Maybe,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
115,2014,28,Male,,United States,Texas,,,0,More than 1000,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
116,2014,26,Male,,United Kingdom,-1,,,0,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
117,2014,21,Male,,United Kingdom,-1,,,1,1-5,0,No,Yes,,No,,No,Yes,,,,,,,,,,,,,,
118,2014,27,Male,,Canada,-1,,,0,6-25,0,No,Maybe,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
119,2014,18,Male,,United States,Connecticut,,,0,1-5,1,No,No,,Don't know,,No,Yes,,,,,,,,,,,,,,
120,2014,35,Male,,United States,Colorado,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
121,2014,29,Male,,United States,Georgia,,,0,More than 1000,1,Yes,Yes,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
122,2014,25,Male,,United States,DC,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
123,2014,33,Male,,United States,Minnesota,,,0,6-25,1,No,No,,Yes,,Don't know,Yes,,,,,,,,,,,,,,
124,2014,36,Male,,United States,Washington,,,0,6-25,1,No,Maybe,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
125,2014,27,Male,,Canada,-1,,,0,100-500,0,No,Maybe,,No,,Yes,Don't know,,,,,,,,,,,,,,
126,2014,27,Male,,United States,Washington,,,0,500-1000,1,No,Yes,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
127,2014,27,Male,,United Kingdom,-1,,,0,6-25,1,No,No,,Don't know,,No,Don't know,,,,,,,,,,,,,,
128,2014,32,Male,,United States,Oregon,,,0,100-500,1,No,Yes,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
129,2014,31,Male,,United Kingdom,-1,,,0,6-25,1,Maybe,Maybe,,Yes,,No,Don't know,,,,,,,,,,,,,,
130,2014,19,Male,,Slovenia,-1,,,0,6-25,1,Yes,Yes,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
131,2014,33,Male,,United States,Illinois,,,0,More than 1000,1,No,Maybe,,No,,Yes,Don't know,,,,,,,,,,,,,,
132,2014,32,Male,,United States,California,,,0,1-5,1,No,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
133,2014,27,Male,,United States,Nebraska,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
134,2014,38,Male,,Costa Rica,-1,,,0,26-100,1,No,No,,No,,No,Yes,,,,,,,,,,,,,,
135,2014,24,Male,,Canada,-1,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
136,2014,39,Male,,United Kingdom,-1,,,0,26-100,0,Maybe,Yes,,Don't know,,No,Don't know,,,,,,,,,,,,,,
137,2014,28,Male,,United Kingdom,-1,,,0,6-25,1,No,No,,Yes,,Don't know,Yes,,,,,,,,,,,,,,
138,2014,39,Male,,United States,Iowa,,,0,More than 1000,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
139,2014,29,Female,,United States,Maryland,,,0,6-25,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
140,2014,22,Male,,Austria,-1,,,0,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
141,2014,38,Male,,United States,Oregon,,,0,100-500,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
142,2014,37,Male,,United Kingdom,-1,,,1,More than 1000,0,Yes,Yes,,Yes,,No,Yes,,,,,,,,,,,,,,
143,2014,35,Male,,United States,Texas,,,0,26-100,0,No,Yes,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
144,2014,-29,Male,,United States,Minnesota,,,0,More than 1000,0,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
145,2014,30,Female,,United States,Pennsylvania,,,0,More than 1000,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
146,2014,37,Male,,United States,Indiana,,,0,100-500,0,Maybe,Maybe,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
147,2014,24,Male,,United Kingdom,-1,,,0,6-25,1,Maybe,Maybe,,Don't know,,No,Yes,,,,,,,,,,,,,,
148,2014,23,Male,,United States,West Virginia,,,0,6-25,0,Yes,Yes,,No,,No,No,,,,,,,,,,,,,,
149,2014,30,Male,,Ireland,-1,,,0,100-500,1,No,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
150,2014,29,Female,,United States,Michigan,,,0,100-500,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
151,2014,19,Male,,Canada,-1,,,1,1-5,1,No,Maybe,,Don't know,,Don't know,Yes,,,,,,,,,,,,,,
152,2014,32,Male,,United States,California,,,0,26-100,1,No,No,,No,,Don't know,Don't know,,,,,,,,,,,,,,
153,2014,28,Male,,Poland,-1,,,0,6-25,1,No,No,,Yes,,No,Don't know,,,,,,,,,,,,,,
154,2014,36,Male,,United States,Illinois,,,0,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
155,2014,37,Male,,United Kingdom,-1,,,0,More than 1000,0,Maybe,Yes,,No,,Yes,Yes,,,,,,,,,,,,,,
156,2014,25,Male,,United States,Illinois,,,0,26-100,0,No,Maybe,,No,,Don't know,Don't know,,,,,,,,,,,,,,
157,2014,27,Male,,United States,California,,,0,More than 1000,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
158,2014,26,Male,,United States,Oklahoma,,,0,26-100,0,Maybe,Yes,,No,,Don't know,Don't know,,,,,,,,,,,,,,
159,2014,27,Male,,United States,Utah,,,0,26-100,1,No,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
160,2014,25,Male,,United States,Illinois,,,0,26-100,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
161,2014,36,Male,,United Kingdom,-1,,,0,More than 1000,0,Maybe,Maybe,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
162,2014,25,Female,,United States,New York,,,0,500-1000,1,Yes,Yes,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
163,2014,31,Male,,United States,California,,,0,More than 1000,1,No,No,,Don't know,,Yes,Don't know,,,,,,,,,,,,,,
164,2014,26,Male,,United States,Massachusetts,,,0,6-25,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
165,2014,33,Female,,United States,Washington,,,1,1-5,1,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
166,2014,27,Female,,United Kingdom,-1,,,1,1-5,1,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
167,2014,34,Male,,United States,Minnesota,,,0,26-100,1,No,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
168,2014,42,Male,,United States,California,,,0,6-25,1,No,Maybe,,No,,No,Don't know,,,,,,,,,,,,,,
169,2014,23,Male,,Ireland,-1,,,1,1-5,1,No,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
170,2014,24,Male,,United Kingdom,-1,,,0,100-500,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
171,2014,26,Male,,United Kingdom,-1,,,0,More than 1000,1,No,No,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
172,2014,31,Male,,United Kingdom,-1,,,1,6-25,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
173,2014,22,Male,,India,-1,,,0,More than 1000,1,Maybe,Yes,,No,,Don't know,Don't know,,,,,,,,,,,,,,
174,2014,23,Female,,United States,North Carolina,,,0,6-25,1,Maybe,Maybe,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
175,2014,34,Female,,Canada,-1,,,0,More than 1000,0,No,No,,No,,Yes,Don't know,,,,,,,,,,,,,,
176,2014,31,Male,,United States,Missouri,,,0,26-100,1,No,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
177,2014,28,Male,,United Kingdom,-1,,,0,100-500,0,No,No,,Yes,,No,Yes,,,,,,,,,,,,,,
178,2014,32,Female,,United States,Massachusetts,,,0,6-25,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
179,2014,45,Female,,United States,California,,,0,1-5,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
180,2014,33,Male,,United States,Texas,,,0,6-25,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
181,2014,29,Male,,Mexico,-1,,,0,6-25,1,Maybe,Maybe,,No,,No,No,,,,,,,,,,,,,,
182,2014,26,Female,,India,-1,,,1,6-25,0,Maybe,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
183,2014,28,Female,,United Kingdom,-1,,,0,26-100,1,No,No,,Don't know,,Don't know,Yes,,,,,,,,,,,,,,
184,2014,45,Male,,United States,California,,,0,More than 1000,1,Yes,Yes,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
185,2014,43,Male,,United States,Washington,,,0,More than 1000,1,Maybe,Yes,,No,,Yes,Don't know,,,,,,,,,,,,,,
186,2014,37,Male,,United States,Massachusetts,,,0,500-1000,1,No,Yes,,No,,Yes,Don't know,,,,,,,,,,,,,,
187,2014,24,Male,,United Kingdom,-1,,,0,6-25,1,No,Maybe,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
188,2014,26,Male,,France,-1,,,0,6-25,1,No,No,,Yes,,No,Don't know,,,,,,,,,,,,,,
189,2014,23,Male,,United Kingdom,-1,,,0,1-5,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
190,2014,35,Female,,United States,California,,,0,More than 1000,1,No,Maybe,,Don't know,,Yes,Yes,,,,,,,,,,,,,,
191,2014,38,Female,,South Africa,-1,,,1,1-5,1,Maybe,Maybe,,Don't know,,No,Yes,,,,,,,,,,,,,,
192,2014,28,Male,,United States,Michigan,,,0,26-100,1,Maybe,Maybe,,No,,Yes,Don't know,,,,,,,,,,,,,,
193,2014,28,Male,,Russia,-1,,,0,26-100,1,Maybe,Yes,,Don't know,,No,Don't know,,,,,,,,,,,,,,
194,2014,35,Male,,United States,California,,,0,6-25,1,No,No,,Don't know,,No,Yes,,,,,,,,,,,,,,
195,2014,32,Female,,Germany,-1,,,0,100-500,1,Yes,Yes,,No,,No,Don't know,,,,,,,,,,,,,,
196,2014,31,Male,,Italy,-1,,,1,6-25,1,Maybe,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
197,2014,35,Female,,United States,New York,,,0,500-1000,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
198,2014,26,Male,,United States,California,,,0,More than 1000,1,No,No,,No,,Yes,Yes,,,,,,,,,,,,,,
199,2014,27,Male,,United States,Tennessee,,,0,6-25,1,Maybe,Maybe,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
200,2014,28,Male,,United Kingdom,-1,,,0,More than 1000,1,Maybe,Maybe,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
201,2014,27,Female,,United States,Oregon,,,0,26-100,1,No,No,,Yes,,Yes,Don't know,,,,,,,,,,,,,,
202,2014,34,Female,,United States,Minnesota,,,0,500-1000,0,No,Maybe,,Yes,,Yes,Yes,,,,,,,,,,,,,,
203,2014,41,Male,,United States,Florida,,,0,6-25,1,Maybe,Maybe,,Don't know,,No,Don't know,,,,,,,,,,,,,,
204,2014,37,Male,,Ireland,-1,,,0,1-5,1,No,Yes,,Don't know,,No,Don't know,,,,,,,,,,,,,,
205,2014,34,Male,,Austria,-1,,,0,100-500,1,No,No,,Yes,,Don't know,Don't know,,,,,,,,,,,,,,
206,2014,32,Male,,United Kingdom,-1,,,0,100-500,1,Maybe,Yes,,No,,Don't know,Don't know,,,,,,,,,,,,,,
207,2014,21,Male,,Canada,-1,,,0,6-25,1,No,No,,Yes,,No,Don't know,,,,,,,,,,,,,,
208,2014,30,Male,,United States,Massachusetts,,,0,26-100,1,No,Maybe,,Don't know,,No,Yes,,,,,,,,,,,,,,
209,2014,24,Male,,United States,Kansas,,,0,26-100,1,No,No,,Don't know,,Don't know,Don't know,,,,,,,,,,,,,,
210,2014,26,Male,,Bulgaria,-1,,,0,100-500,1,Maybe,Yes,,Don't know,,No,No,,,,,,,,,,,,,,
211,2014,40,Female,,United States,DC,,,0,26-100,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
212,2014,37,Male,,United Kingdom,-1,,,0,26-100,0,Maybe,Yes,,Don't know,,No,Don't know,,,,,,,,,,,,,,
213,2014,26,Male,,United Kingdom,-1,,,1,1-5,1,No,Yes,,Don't know,,No,Don't know,,,,,,,,,,,,,,
214,2014,32,Female,,United States,Texas,,,0,6-25,1,Maybe,Yes,,No,,Don't know,No,,,,,,,,,,,,,,
215,2014,32,Female,,United States,Massachusetts,,,0,100-500,0,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
216,2014,27,Female,,United States,Michigan,,,1,1-5,1,No,No,,Don't know,,No,Don't know,,,,,,,,,,,,,,
217,2014,30,Male,,Germany,-1,,,1,6-25,1,No,No,,Yes,,Yes,Yes,,,,,,,,,,,,,,
